Код компании;Наименование компании
11363;ДНІПРОПЕТРОВСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ ТД -НЕ КРЕДИТОВАТЬ - 17.10.24
11365;ТРЕЙСТОН
11366;СОФІЯ С ТОВ
11368;СОЛАР СТАЛЬКОНСТРУКЦІЯ
11369;ТУРЧЕНКО ДМИТРО ЮРІЙОВИЧ
11370;ПОШСТІЛ
11374;АДАМАНТ 95 ВИРОБНИЧЕ ПІДПРИЄМСТВО
11379;Гарайбе Аніс Тахссинович ФОП
11381;ІНТЕРМІКС ТД
11382;АККОРД ТРЕЙДИНГ
11383;ДІМ ЕЛЕКТРИКИ МОНТАЖНО СЕРВІСНЕ ПІДПРИЄМСТВО
11386;СИСТЕМИ МОДЕРНІЗАЦІЇ СКЛАДІВ ТОВ
11388;АЙРОН-УКРАЇНА ТОВ
11389;КОМПЛЕКС ТОВ
11390;ЄВРОЗВ'ЯЗОК
11391;СПАРТА ТД ТОВ
11392;БИЧКОВА НАТАЛЯ ІВАНІВНА
11398;НАЗАРІВСЬКЕ
11400;ДНЕПРСПЕЦМАШ ТОВ
11402;ПРАЙМ ЕНЕРДЖІ ГРУП ТОВ
11404;ТЕРМОЛІТ-ІНВЕСТ ТОВ
11407;БО ФОНД 1654
11413;ІСТ ЛОУД ГРУП ТОВ
11417;Леванков Денис Сергійович
11420;ТЕХМАШ АГРО ТОВ
11424;Полевик Галина Федорівна ФОП
11425;СПЛАВ ТД ТОВ
11429;ОРГТЕХНІКА ФІРМА
11430;УКР ХОЛДИНГ ПОСТАЧ
11431;МС ТРЕЙД УКРАЇНА
11432;ГІРНИЧО-РУДНІ ТЕХНОЛОГІЇ
11433;ТЕХНОФОРУМ ТОВ
11434;ХАРД РЕСУРС ЮА
11437;ШЛЯХБУД ЗБВ
11438;Воробйов Антон Володимирович ЧЛ
11439;АРТОС НАУКОВО-ВИРОБНИЧА ФІРМА
11442;ДНІПРОВСЬКИЙ ВЕРСТАТОРЕМОНТНИЙ ЗАВОД ТОВ
11443;МІКРОН Т
11444;ВЕНТИЛЯЦІЙНІ РІШЕННЯ ВЕНТСОЛ ТОВ
11450;ДС-МЕХАНІК
11453;РИШТОВКА-ВЕСТ
11455;ГРАНД СН ТОВ
11456;ІНГУАР КОНСТРУКТОРСЬКО-ВИРОБНИЧЕ ПІДПРИЄМСТВО
11458;ТОНМЕТ ХОЛДІНГ ТОВ
11461;Стащенко Ганна Михайлівна ФОП
11462;Биханов Роман Геннадійович ФОП
11463;ГИРИК АНАТОЛІЙ ОЛЕКСІЙОВИЧ
11464;ГАРДА ТД ТОВ
11466;Тітовський Д.О. ЧЛ
11468;УКРТЕХНОСЕРВІС ФІРМА ВИРОБНИЧО-КОМЕРЦІЙНА
11469;НІКА МК
11473;ПОЛІТЕХПРОМ ТОВ
11477;ХАРД СТІЛ ІНДАСТРІ
11479;ВД транс ТОВ
11480;ВЕДА ТОРГІВЕЛЬНИЙ ДІМ
11481;МЕТАЛ ПРОФІЛЬ ГРУП
11482;МЕТАЛ-МЕТИЗ ПЛЮС ТОВ
11485;ЗАВОД ПРОМИСЛОВИХ ТЕХНОЛОГІЙ ТОВ
11488;ХАРКІВСЬКИЙ ДОСЛІДНИЙ ЛИВАРНИЙ ЗАВОД
11491;СПЕЦПРОМЕНЕРГО-1 ТОВ
11496;ІНДУСТРІАЛЬНИЙ ПАРК ПІВНІЧНИЙ ТОВ
11499;Гнатюк Олександр Володимирович
11500;ГРАНБУТПОСТАЧ ТОВ
11501;ВОЛЬТЕН НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО
11504;Литвин Владислав Миколайович ЧЛ
11508;Дніпропетровське експериментальне протезно-ортопедичне підприємство ДКП
11509;ВЕНТИЛЯЦІЙНІ СИСТЕМИ ТОВ
11513;ТВЕРДОХЛІБ ВІТА ІВАНІВНА ФОП
11516;МІРОШНИК ОЛЕКСАНДР ГРИГОРОВИЧ
11517;МОНОЛІТ-ГРУПП ТОВ
11519;ГРАНДКОРТ ТОВ
11521;ЕКО-КОМУНТРАНС ТОВ
11525;ЖАРЧИНСЬКИЙ ВІТАЛІЙ ВІТАЛІЙОВИЧ ФОП
11528;ЕМК ЕНЕРГІЯ ТОВ
11531;БИЧКОВ ВАСИЛЬ АНАТОЛІЙОВИЧ ФОП
11532;ПРОММАШ НВП
11533;ЕСКАЛЬ ЦИНК ТОВ
11534;АНТАРЕС РІТЕЙЛ
11535;ЕЛІТ-ОІЛ ТОВ
11536;Левченко Андрій  Владиславович
11537;ГАЙДАШ СЕРГІЙ ВІКТОРОВИЧ ФОП
11538;Бiленко Володимир Миколайович ПРИВАТНА ОСОБА
11539;НІКОН-ДНІПРО ТОВ
11541;МК ЄВРАЗТРЕЙД ГРУП ТОВ
11542;Хворост Андрій Михайлович ПРИВАТНА ОСОБА
11545;Савченко В'ячеслав Миколайович
11547;ПЛІЧ-О-ПЛІЧ БО
11548;ТАЙКУНС
11552;УКРАЇНСЬКІ МАШИНОБУДІВНІ ЕЛЕМЕНТИ НВП
11553;МЕТАЛ ПРОФІЛЬ ВК
11556;Прокопчук Василь Васильович ЧЛ
11557;Кіріченко Валерій Валентинович ФОП
11559;Грицаненко Владислав Миколайович
11563;ІЛЯСОВ АНТОН ІГОРОВИЧ ФОП
11565;РОБАКІДЗЕ А. В. ФОП
11567;ВУД ТОВ
11591;ПЕГАС ТВК ТОВ
11611;ДНІПРОПРЕС НПО ТОВ
11616;АВТОСКЛАДАЛЬНИЙ ЗАВОД ПАТРОН АВТО НВП
11626;МИШУСТА Іван Васильович ФОП
11627;ІНТЕХ ЕНЕРГО ТОВ
11641;ДЕФЕНС ЮА ТОВ
11643;АЛІМАК ВП ТОВ
11678;Клиент 11678
11683;ДЕВ'ЯТКО ІГОР ІВАНОВИЧ
11694;ЛОРЕН-ГРУП ТОВ
11707;ЕНДОР КОМПАНІ
11723;ДЕВ ІНВЕСТ ГРУП
11733;АСТЕР-М ТОВ
11743;ТРАК ТРАФІК ТОВ
11747;ФЛІП АЛЬЯНС ТОВ
11758;МОВА І КО ТОВ
11760;БМК-ЛІСТОРГ
11782;ЕЛТЕХКОМП НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ТОВ
11785;ДИСКАГРО ПЛЮС ТОВ
11786;ГАВРИЛЕНКО ВОЛОДИМИР ВІКТОРОВИЧ ФОП
11791;НОВІК МК
11796;БУДТРАНСЕКСПОРТ ПП
11799;ПЕТПЛАСТ ТОВ
11809;ТРІНГЕР ТОВ
11818;УкрМетБуд Торговий Дім ТОВ
11822;Шаповал Іван Михайлович ПРИВАТНА ОСОБА
11837;АСПІТ ТОВ
11847;ВАРТО  СЕРВІСНИЙ МЕТАЛОЦЕНТР  ТОВ
11854;ЕНЕРГООБЛІК ПАО
11865;ТЕХНО-СМАРТ ЛТД ТОВ
11868;ЗАВОД ВГО ТОВ
11869;ВІНТАНА ГРУП ТОВ
11871;ПАРТЕК УКРАЇНА ТОВ
11873;ЗАВОД СПЕЦ МАШИН ТОВ
11881;Олійник Яна Сергіївна ФОП
11883;СТАЛЬТІМА ККП ТОВ
11909;АЙНЕКТ МЕТАЛ ТД ТОВ
11911;АВТО-М ТОВ
11913;ДЕНКОМ
11918;ПРОМИСЛОВИЙ СОЮЗ 2017
11923;БЛІЗАРД МЕТАЛ ТОВ
11924;ФлешНіка ТОВ
11927;ВЕНА ВИРОБНИЧЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ПІДПРИЄМСТВО ТОВ
11928;ФУДПРОМСЕРВІС
11949;Соляник Вікторія Володимирівна ФОП
11950;НАТАФАРМ ТОВ
11953;ОГНІЦЬКИЙ МИКОЛА СТАНІСЛАВОВИЧ ФОП
11971;ВОСТОК МЕТАЛ Х ТОВ
11973;Звягельський завод сільгоспмашин ПАТ
11979;МЕТКАРС. ТОВ
11984;ФЕРРУМ-СТІЛ ТОВ
11986;БІШОФІТ КРИСТАЛ ТОВ
12003;УКРТРАНЗИТ ТОВ
12019;АЯКС ДНІПРО ТОВ-НЕ РАБОТАЮТ
12021;ФЕРРО МАКС ПРОТЕКТ  гол.установ.
12024;Артик Сталь Груп
12026;ПАВЛОГРАДСПЕЦМАШ ЗАВОД ТОВ
12027;ЄВРОБУДМЕТАЛ ТОВ
12031;Тимошенко Богдан Валерійович
12033;ВОДРЕМ ТОВ
12037;ВЕЛТА ВИРОБНИЧО - КОМЕРЦІЙНА ФІРМА
12049;АВТОТРАНСПОРТНЕ ПІДПРИЄМСТВО ТІР ТОВ
12051;ЛЕОН МЕТАЛ ТОВ
12054;ЛИВАРНО-ІНЖЕНЕРНА КОМПАНІЯ ТОВ
12055;БУДПРОМЗАБЕЗПЕЧЕННЯ ТОВ
12056;САНТЕХМОНТАЖ
12059;ТЕХАВІАКОМ НВК
12060;БІЛЕНКО ОКСАНА ВІКТОРІВНА ПРИВАТНА ОСОБА
12067;МІТЦЕЛЬ МИКОЛА ОЛЕКСАНДРОВИЧ ФОП
12083;ДИБА ОЛЕКСАНДР ВОЛОДИМИРОВИЧ ФОП
12093;ГРАНОВСЬКА ІРИНА ЮРІЇВНА
12101;ДІОНІС МГ ПЛЮС
12107;Лощенко Микола Анатолiйович ПРИВАТНА ОСОБА
12110;ПРОМПРИЛАД ІВАНО-ФРАНКІВСЬКИЙ ЗАВОД
12116;УСАТИЙ ВЛАДИСЛАВ ВОЛОДИМИРОВИЧ ФОП
12122;АЛЄКСЄЄНКО МАКСИМ ВАСИЛЬОВИЧ ФОП
12128;ГАРАНТІЯ ПЛЮС ПП
12131;ЕТАЛОН ТОРГ
12134;КОСТЕНКО МАКСИМ КОНСТЯНТИНОВИЧ ПРИВАТНА ОСОБА
12135;РЕАН ПСП
12161;ЗДО ЦЕНТР ТОВ
12172;ТЕХНОЛОГІЇ ПІДЙОМУ  НВК ТОВ
12174;РВТ-СЕРВІС ТОВ
12175;ПАВЛОГРАДМАШ ТОВ
12185;МЕТАЛОСВІТ ТОВ
12186;МЕТАЛОПРОКАТ ЮА ТОРГОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ТОВ
12190;ЗАВОД НАФТОГАЗОВОГО ОБЛАДНАННЯ ТОВ
12196;АГРОРЕКАВЕРІ ТОВ
12198;ІНДУСТРІЯ МЕТАЛІВ ТОВ
12199;УКРПОСТАЧ ПЛЮС
12201;СТАЛЕВИЙ ПАРТНЕР ТОВ
12209;МАШИНОБУДІВНЕ ВИРОБНИЧЕ ОБ'ЄДНАННЯ ЕНЕРГІЯ ТОВ
12214;ПАВЛІВ СТАНІСЛАВ ПЕТРОВИЧ ПРИВАТНА ОСОБА
12221;КАЛЬЯНОВ ІВАН ВАЛЕРІЙОВИЧ
12224;Рубцов Ігор Євсейович ПРИВАТНА ОСОБА
12232;Завод Арсенал
12234;Кушнір Олександр Іванович ПРИВАТНА ОСОБА
12235;АРСЕНАЛ-ЦЕНТР ТОВ
12236;СТАР-МАРКЕТ НВП
12242;АНУКА ТОВ
12248;УСИК СЕРГІЙ ПРОКОПОВИЧ ФОП
12253;ЛЕМАРКАН ТОВ
12254;МЕТАЛОІНВЕСТ УКРАЇНА ТОВ
12256;МЕТАЛОБАЗА ФЕРРУМ
12260;СК СПМ ТОВ
12262;Глушко Михайло Сергійович ФОП
12266;ПРАЙМ БУДІНВЕСТ ТОВ
12268;ПЕРША ДНІПРОВСЬКА КУЗНЯ БАСТІОН ТОВ
12285;ЕЛІТГРУП ТК ТОВ
12286;ГАЗІНВЕСТ НВП
12287;ОЛІМПІЯ СТРОЙ ТОВ
12289;МЕТАЛОБАЗА ВЕРТИКАЛЬ ТОВ
12294;ГНЕЛИЦЬКИЙ ІГОР СЕРГІЙОВИЧ ФОП
12296;ПРОФЛАЙН 2020 ТОВ
12312;ДМСК ТОВ
12315;МЕТАЛОТЕХРЕСУРС ТОВ
12316;ПРОКОФ'ЄВ СЕРГІЙ ВОЛОДИМИРОВИЧ  ФОП
12317;Григор'єв ВАДИМ В'ячеславович
12329;ТЕХРАЙН ТОВ
12333;КОМПРЕСОРМАШ-СЕРВІС ТОВ
12334;МЕТАЛ БАЗА КОМПЛЕКС
12338;КРЕМАГРОНАФТОСЕРВІС ПП
12341;РОДОРС ТОВ
12348;ЯВЕЦЬКИЙ ВОЛОДИМИР ВОЛОДИМИРОВИЧ ФОП
12351;ВОСТОЧНИЙ ЕКСПРЕС ТОВ
12355;ЛАСУНКА ТОВ
12360;Авітел груп ТОВ
12361;КРЕАТИВ-КАПІТАЛ ТОВ
12362;ТЕОН УКРАЇНА ТОВ
12368;СТКМ ГРУП ТОВ
12370;ТРУБНИЙ ЗАВОД ТАЙФУ ТОВ
12373;АКСІОМ ІНЖИНІРИНГ ГРУП ТОВ
12377;УКРМЕГАПРОМ ТОВ
12378;МИКОЛАЇВСЬКИЙ ТЕПЛОВОЗОРЕМОНТНИЙ ЗАВОД ТОВ
12381;МЕТАЛОЦЕНТР ВІКАР ТОВ
12382;ІНТЕХ МЕХАНІКА ТОВ
12394;Гайдук Ігор
12400;МЕТАЛОЦЕНТР МРІЯ
12405;СЛИША ОЛЕКСАНДР ВОЛОДИМИРОВИЧ ФОП
12409;АЛКОР-ІНВЕСТ ТОВ
12415;МЕРЕФА МЕТАЛ СЕРВІС ТОВ
12417;АР.ГРУП
12418;ТЕХНОРІШЕННЯ ТОВ
12419;Металекс Альянс
12427;ОМЕГА ГК ТОВ
12430;ТОРГІНДУСТРІЯ ТОВ
12435;АСТЕЙ НВП ТОВ
12438;ПРОМІНСТРУМЕНТ-ВІННИЦЯ ТОВ
12440;СТАЛЕВА КРАЇНА
12447;Кондратюк Наталія Володимирівна ЧЛ
12448;Пром Сталь Група Компаній
12450;СІЛЬВЕР МЕТАЛ ГРУП
12467;Березанський Олександр Аркадiйович ЧЛ
12468;СТІЛ СОЛЮШНС ЮКРЕЙН ТОВ
12472;УКРАВТОКОМПЛЕКТ ТД
12473;ЕН СІ ІНЖИНІРИНГ УКРАЇНА
12492;АДВІСМАШ НВФ
12493;СТІЛ АДВАНС ТД ТОВ
12495;ЕЛМОТЕХНОЛОГІЇ ТОВ
12508;КОНТИНЕНТ СТАЛЬ ТОВ
12512;МЕТАГРОБУД ТОВ
12531;ПРОМ АЛЬЯНС ГРУП ТК ТОВ
12539;ПРОМГАЗ ПВКП
12542;РІЧ ТОВ ПП
12543;АМАРІ УКРАЇНА ТОВ
12546;АКОНІТ-ДС ПП
12552;ПРОФ САПЛАЙ ТОВ
12557;УКРАЇНСЬКИЙ СТАЛЕВИЙ ХОЛДИНГ ТОВ
12559;ПРОМСТАЛЬ-А ТОВ
12561;ГЛОБАЛ РЕСУРС ГРУП
12564;ОКЕАН-ТЕРМІКО ТОВ (новий)
12565;СЕВЕН МІТАЛ ТОВ
12568;УНІВЕРСАЛЬНІ ІНЖЕНЕРНІ РІШЕННЯ НВП
12571;АНДРОСЮК ОЛЕКСАНДР МИКОЛАЙОВИЧ ФОП
12577;М-СПЕЦТРЕЙД ТОВ
12578;РОВА ТРЕЙД ТОВ
12579;СТИЛ-ІМПЕКС
12580;КІБІРЄВ ВІТАЛІЙ ЮРІЙОВИЧ ФОП
12589;ОСНАСТКА-МАРКЕТ ТДВ
12592;МТ СОЛЮШНС   ТОВ
12601;АКРОН-СТАЛЬ
12602;ЛЕПІН ОЛЕКСАНДР ВІКТОРОВИЧ ФОП
12603;МАЯК-ПЕРСПЕКТИВА АКЦІОНЕРНОГО ТОВАРИСТВА ЗАВОД МАЯК
12608;Пилипишин Сергій Павлович ПРИВАТНА ОСОБА
12609;ЄВРОФОРВАРД УКРАЇНА НВП ТОВ
12610;КОМОС ТОВ
12622;ТЕХНОСМАРТ ГРУП
12625;ЛАГУТІНА НАТАЛІЯ ВОЛОДИМИРІВНА ФОП
12629;МБС-ІНЖИНІРІНГ
12630;МОНБЛАН
12636;ПЛАНТ УКРАЇНА
12646;АТЛАНТ-РХ ТОВ
12649;ССС ТОВ
12651;ЛВМ КОМПЛЕКТ ТОВ
12658;НІКОГАЗСЕРВІС  ТОВ
12659;Інвестмаш ТВК
12694;ОРІЄНТ ЛТД
12700;ІНТЕРСТИЛЬ ПП
12708;СТАЛЬМІКС ТОВ
12714;ВЕРСТАТОЛИВ ДНІПРОВСЬКА ЛИВАРНО-МЕТАЛУРГІЙНА КОМПАНІЯ
12721;УКРПРОМРЕСУРСИ ТОВ
12723;ГРАНД ОІЛ ЕНЕРДЖІ ТОВ
12725;УПРАВЛІННЯ ГАЗОВИХ РОБІТ ТОВ
12729;УКРСПЕЦРЕДУКТОР НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ТОВ
12731;ДЕЛЬТА-ЕСТЕЙТ ТОВ
12736;КСЛ 16 ТОВ
12737;ІНТЕРА МАЛЕ ПРИВАТНЕ ПІДПРИЄМСТВО НАУКОВО- ВИРОБНИЧЕ ОБ'ЄДНАННЯ
12742;ОЛІМПЕКС ГРУП
12744;ЗАВОД СКОБ’ЯНИХ ВИРОБІВ 1905 ПП
12749;УВК ІНВЕСТ ТОВ
12759;СПС-БУД ТОВ
12761;Попов Сергій Вікторович
12762;МАКСИМА МЕТАЛ ТД ТОВ
12764;БУД ЦЕНТР 2018
12772;ЖДАНОВ ВІКТОР ДМИТРОВИЧ ФОП
12776;АГРОРЕММАШ-СПЕЦТЕХНІКА ТОВ
12781;Вірчич Сергій Сергійович ЧЛ
12783;МЕТАЛУ ТД
12786;Поінт МеталТОВ
12794;ФРЕНДЛІ ВІНД ТЕХНОЛОДЖІ ТОВ
12804;ПОЛІМЕТГРУП ТПК ТОВ
12806;Абрамін Вадим Сергійович ЧЛ
12807;СИДОРЧУК ВІТАЛІЙ МИКОЛАЙОВИЧ ФОП
12809;АРСІ ТРАНС ТОВ
12810;Галкран ТОВ
12813;ДСК-ДНІПРО ТОВ
12826;ГУРАЛЬНЯ БРУНИЦЬКИХ ТОВ
12836;ТЕХМАШ-УКРАЇНА ТОВ
12837;УКРАЇНСЬКІ СИСТЕМИ ПОСТАЧАННЯ ДЛЯ БУДІВНИЦТВА ТОВ
12841;МАРТИНОВА ТЕТЯНА ВАЛЕРІЇВНА ФОП
12849;КОВСТАЛЬ ВКФ ТОВ
12853;ІНВОТЕКС ТОВ
12856;Гіперіон-1 ТОВ
12862;УКР-ЕЛІТ ПЛЮС ТД ТОВ
12864;ПРОМЕКСПОРТ ТОВ
12867;Носков Євгеній  Кирилович
12872;КВАДО НВФ
12882;СІОМ ІНДАСТРІ ТОВ
12887;ФЬЮЧЕ ТРЕЙДІНГ
12890;ТАРГЕТ ТОРГОВЕЛЬНО-РЕМОНТНЕ ПІДПРИЄМСТВО
12893;СКБ 27
12896;АН-ТРЕЙД
12897;Дніпроенергосталь ТОВ
12899;ПРИВАТБУДІНДУСТРІЯ
12903;СТАЛЬПРОФІ УКРАЇНА
12906;ХАРКІВСЬКЕ МЕТАЛООБРОБНЕ ПІДПРИЄМСТВО
12911;Полозова Світлана Олександрівна
12915;ТАВР СМЦ ТОВ
12918;РУДЕНКО ІГОР ЄВГЕНОВИЧ
12919;ЛАРСЕМ
12920;ДНІПРОВСЬКИЙ МЕТАЛУРГІЙНИЙ КОМБІНАТ ТОРГОВИЙ ДІМ
12937;РОВЕР ВІЛС
12943;ДНІПРО-СПЕЦМОНТАЖБУД
12945;ВОРОН ТЕХНОЛОДЖІ ТОВ
12954;БРАТИЦЯ ВАЛЕНТИН ВІТАЛІЙОВИЧ ФОП
12958;СТАТКЕВИЧ В'ЯЧЕСЛАВ ПАВЛОВИЧ ФОП
111810;Клиент 111810
111811;Клиент 111811
39580648;Клиент 39580648
43512165;Клиент 43512165
1932910758;Клиент 1932910758
2245122212;Клиент 2245122212
2370519592;Клиент 2370519592
2541311901;Клиент 2541311901
2723123613;Клиент 2723123613
2936106509;Клиент 2936106509
3020717410;Клиент 3020717410
3133904853;Клиент 3133904853
3151823718;Клиент 3151823718
3282107018;Клиент 3282107018
3311417858;Клиент 3311417858
3327004915;Клиент 3327004915
3338416274;Клиент 3338416274
3391609650;Клиент 3391609650
3466204574;Клиент 3466204574
3493005675;Клиент 3493005675
